Area Code,Area Code (M49),Area,Months Code,Months,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
70,'258,French Polynesia,7007,July,6078,Standard Deviation,°c,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328,0.328
70,'258,French Polynesia,7008,August,7271,Temperature change,°c,0.271,-0.284,0.305,-0.154,0.101,0.104,-0.589,-0.039,0.033,0.477,-0.13,0.495,0.147,-0.673,-0.506,-0.456,0.087,0.021,-0.073,0.554,-0.105,0.417,0.472,-0.052,0.428,0.283,-0.005,0.627,0.583,1.024,0.451,0.683,0.548,0.502,0.962,0.31,-0.029,0.405,0.475,0.503,0.255,1.033,1.096,0.302,0.679,0.542,1.115,0.345,0.746,0.727,0.633,0.533,0.156,0.72,0.381,1.225,0.566,0.713,1.203,0.823,0.953,0.464
70,'258,French Polynesia,7008,August,6078,Standard Deviation,°c,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.339
70,'258,French Polynesia,7009,September,7271,Temperature change,°c,0.265,0.183,-0.089,-0.278,0.202,0.36,-0.254,-0.186,-0.119,0.047,-0.345,-0.215,0.256,-0.476,-0.218,-0.076,0.429,0.056,0.063,-0.126,0.587,0.23,0.483,0.567,0.639,0.641,0.918,0.503,0.525,0.766,0.236,0.853,0.369,0.63,0.719,-0.107,0.691,0.551,0.139,0.216,0.759,1.027,0.998,0.786,0.859,0.842,0.68,0.348,1.077,0.547,0.896,1.023,0.288,1.251,0.447,1.427,0.835,0.355,0.755,1.219,1.083,0.571
70,'258,French Polynesia,7009,September,6078,Standard Deviation,°c,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317
70,'258,French Polynesia,7010,October,7271,Temperature change,°c,0.176,-0.116,0.445,-0.148,0.305,0.006,-0.257,-0.008,0.302,-0.104,-0.009,-0.348,0.108,-0.155,-0.511,0.279,0.244,-0.332,-0.27,0.182,0.537,0.276,0.674,0.939,0.087,0.392,0.062,0.256,0.496,0.735,0.447,0.314,0.327,0.563,0.774,0.305,0.582,0.687,0.446,0.205,0.389,1.151,0.656,0.767,1.068,0.934,0.593,0.734,0.639,0.226,0.339,0.844,0.702,1.028,0.716,1.139,0.259,0.681,0.398,0.876,0.982,0.344
70,'258,French Polynesia,7010,October,6078,Standard Deviation,°c,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284,0.284
70,'258,French Polynesia,7011,November,7271,Temperature change,°c,0.15,0.059,0.345,-0.692,0.362,-0.083,-0.659,0.205,0.28,-0.093,-0.062,-0.583,0.338,-0.207,-0.39,0.429,0.124,-0.47,0.426,-0.059,0.331,0.203,0.064,0.393,0.226,0.422,0.473,0.137,-0.353,0.421,0.374,0.247,0.159,0.458,0.53,0.691,0.843,0.556,0.146,0.509,0.367,1.327,0.7,0.966,1.009,0.65,0.721,0.776,1.097,0.397,0.322,1.605,0.426,0.725,1.199,1.06,0.638,0.997,0.861,0.545,0.498,-0.263
70,'258,French Polynesia,7011,November,6078,Standard Deviation,°c,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408,0.408
70,'258,French Polynesia,7012,December,7271,Temperature change,°c,0.104,-0.207,-0.082,-0.59,0.219,-0.263,-0.823,0.462,0.825,-0.229,-0.219,0.683,0.056,-0.402,-0.446,0.344,-0.517,-0.086,-0.035,0.31,0.379,0.263,0.544,-0.356,0.65,0.499,0.059,-0.146,-0.223,0.127,0.279,0.086,0.708,0.6,-0.054,0.147,0.922,0.682,0.286,0.182,0.155,0.531,1.038,0.756,1.103,0.943,0.281,0.661,1.291,0.452,0.434,0.849,0.539,0.713,1.136,1.014,0.95,1.129,0.586,0.677,0.738,0.336
